PART	ANALITO	RESP	S1_NOME_SA	S2_NOME_SA
49	Urobilinog瘽io.	4 mg/dL	Labstrip U11 Plus GL	Labumat
60	Bilirrubina.	2 mg/dL	Uriclin 10	Leitura visual
60	Hemoglobina Hemolisada.	200 Ery/無	Uriclin 10	Leitura visual
60	Leucocitos.	70 leu/無	Uriclin 10	Leitura visual
60	Nitrito.	0,2 mg/dL	Uriclin 10	Leitura visual
69	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
69	Corpos Cet獼icos.	80 mg/dL	Meditape UC-11A	Sysmex UC 3500
69	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
69	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
69	Leucocitos.	25 leu/無	Meditape UC-11A	Sysmex UC 3500
69	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
69	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
69	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
75	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
75	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
75	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
75	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
75	Leucocitos.	0 leu/無	Meditape UC-11A	Sysmex UC 3500
75	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
75	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
79	Bilirrubina.	6 mg/dL	Dirui H10	FUS 2000
79	Corpos Cet獼icos.	15 mg/dL	Dirui H10	FUS 2000
79	Glicose.	500 mg/dL	Dirui H10	FUS 2000
79	Hemoglobina Hemolisada.	200 Ery/無	Dirui H10	FUS 2000
79	Leucocitos.	70 leu/無	Dirui H10	FUS 2000
79	Nitrito.	0,2 mg/dL	Dirui H10	FUS 2000
79	Prote璯as.	100 mg/dL	Dirui H10	FUS 2000
79	Urobilinog瘽io.	1 mg/dL	Dirui H10	FUS 2000
82	Bilirrubina.	6 mg/dL	Dirui H10	FUS 2000
82	Corpos Cet獼icos.	40 mg/dL	Dirui H10	FUS 2000
82	Glicose.	500 mg/dL	Dirui H10	FUS 2000
82	Hemoglobina Hemolisada.	200 Ery/無	Dirui H10	FUS 2000
82	Leucocitos.	125 leu/無	Dirui H10	FUS 2000
82	Nitrito.	0,2 mg/dL	Dirui H10	FUS 2000
82	Prote璯as.	30 mg/dL	Dirui H10	FUS 2000
82	Urobilinog瘽io.	0,2 mg/dL	Dirui H10	FUS 2000
85	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
85	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
85	Glicose.	1000 mg/dL	Uricolor Check	Leitura visual
85	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
85	Leucocitos.	0 leu/無	Uricolor Check	Leitura visual
85	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
85	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
85	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
86	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
86	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
86	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
86	Leucocitos.	0 leu/無	Meditape UC-11A	Sysmex UC 3500
86	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
86	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
86	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
94	Bilirrubina.	3 mg/dL	Combur 10M	Leitura visual
94	Corpos Cet獼icos.	80 mg/dL	Combur 10M	Leitura visual
94	Glicose.	1000 mg/dL	Combur 10M	Leitura visual
94	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Leitura visual
94	Leucocitos.	15 leu/無	Combur 10M	Leitura visual
94	Nitrito.	0,2 mg/dL	Combur 10M	Leitura visual
94	Prote璯as.	500 mg/dL	Combur 10M	Leitura visual
94	Urobilinog瘽io.	12 mg/dL	Combur 10M	Leitura visual
99	Bilirrubina.	6,0 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
99	Corpos Cet獼icos.	150 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
99	Glicose.	1000 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
99	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Urisys 1800/ Cobas u411
99	Leucocitos.	100 leu/無	Combur 10M	Urisys 1800/ Cobas u411
99	Nitrito.	0,2 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
99	Prote璯as.	500 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
99	Urobilinog瘽io.	12 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
100	Bilirrubina.	3 mg/dL	Uricolor Check	Urivision
100	Corpos Cet獼icos.	15 mg/dL	Uricolor Check	Urivision
100	Glicose.	500 mg/dL	Uricolor Check	Urivision
100	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Urivision
100	Leucocitos.	0 leu/無	Uricolor Check	Urivision
100	Nitrito.	0,2 mg/dL	Uricolor Check	Urivision
100	Prote璯as.	100 mg/dL	Uricolor Check	Urivision
100	Urobilinog瘽io.	2 mg/dL	Uricolor Check	Urivision
123	Bilirrubina.	1 mg/dL	Uriquest Plus I	Leitura visual
123	Corpos Cet獼icos.	40 mg/dL	Uriquest Plus I	Leitura visual
123	Glicose.	500 mg/dL	Uriquest Plus I	Leitura visual
123	Hemoglobina Hemolisada.	300 Ery/無	Uriquest Plus I	Leitura visual
123	Leucocitos.	25 leu/無	Uriquest Plus I	Leitura visual
123	Nitrito.	0,2 mg/dL	Uriquest Plus I	Leitura visual
123	Prote璯as.	100 mg/dL	Uriquest Plus I	Leitura visual
123	Urobilinog瘽io.	12 mg/dL	Uriquest Plus I	Leitura visual
124	Bilirrubina.	2 mg/dL	Multistix 10SG	Clinitek Advantus
124	Corpos Cet獼icos.	40 mg/dL	Multistix 10SG	Clinitek Advantus
124	Glicose.	250 mg/dL	Multistix 10SG	Clinitek Advantus
124	Hemoglobina Hemolisada.	250 Ery/無	Multistix 10SG	Clinitek Advantus
124	Leucocitos.	15 leu/無	Multistix 10SG	Clinitek Advantus
124	Nitrito.	0,2 mg/dL	Multistix 10SG	Clinitek Advantus
124	Prote璯as.	300 mg/dL	Multistix 10SG	Clinitek Advantus
124	Urobilinog瘽io.	8 mg/dL	Multistix 10SG	Clinitek Advantus
133	Bilirrubina.	0 mg/dL	Meditape UC-11A	Sysmex UC 3500
133	Corpos Cet獼icos.	0 mg/dL	Meditape UC-11A	Sysmex UC 3500
133	Glicose.	250 mg/dL	Meditape UC-11A	Sysmex UC 3500
133	Hemoglobina Hemolisada.	125 Ery/無	Meditape UC-11A	Sysmex UC 3500
133	Leucocitos.	0 leu/無	Meditape UC-11A	Sysmex UC 3500
133	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
133	Prote璯as.	100 mg/dL	Meditape UC-11A	Sysmex UC 3500
133	Urobilinog瘽io.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
142	Bilirrubina.	3,0 mg/dL	Labstrip U11 Plus GL	Labumat 2
142	Corpos Cet獼icos.	150 mg/dL	Labstrip U11 Plus GL	Labumat 2
142	Glicose.	1000 mg/dL	Labstrip U11 Plus GL	Labumat 2
142	Hemoglobina Hemolisada.	300 Ery/無	Labstrip U11 Plus GL	Labumat 2
142	Leucocitos.	500 leu/無	Labstrip U11 Plus GL	Labumat 2
142	Nitrito.	0,2 mg/dL	Labstrip U11 Plus GL	Labumat 2
142	Prote璯as.	100 mg/dL	Labstrip U11 Plus GL	Labumat 2
142	Urobilinog瘽io.	2 mg/dL	Labstrip U11 Plus GL	Labumat 2
146	Bilirrubina.	4,0 mg/dL	Urofita 10DLU	Uryxxon 500
146	Corpos Cet獼icos.	100 mg/dL	Urofita 10DLU	Uryxxon 500
146	Glicose.	500 mg/dL	Urofita 10DLU	Uryxxon 500
146	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DLU	Uryxxon 500
146	Leucocitos.	75 leu/無	Urofita 10DLU	Uryxxon 500
146	Nitrito.	0,2 mg/dL	Urofita 10DLU	Uryxxon 500
146	Prote璯as.	500 mg/dL	Urofita 10DLU	Uryxxon 500
146	Urobilinog瘽io.	4 mg/dL	Urofita 10DLU	Uryxxon 500
163	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
163	Corpos Cet獼icos.	10 mg/dL	Meditape UC-11A	Sysmex UC 3500
163	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
163	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
163	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
163	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
184	Bilirrubina.	2,0 mg/dL	BioT嶰nica	Leitura visual
184	Corpos Cet獼icos.	40 mg/dL	BioT嶰nica	Leitura visual
184	Glicose.	250 mg/dL	BioT嶰nica	Leitura visual
184	Hemoglobina Hemolisada.	0 Ery/無	BioT嶰nica	Leitura visual
184	Leucocitos.	0 leu/無	BioT嶰nica	Leitura visual
184	Nitrito.	0,1 mg/dL	BioT嶰nica	Leitura visual
184	Prote璯as.	300 mg/dL	BioT嶰nica	Leitura visual
184	Urobilinog瘽io.	0,2 mg/dL	BioT嶰nica	Leitura visual
220	Bilirrubina.	3,0 mg/dL	Labstrip U11 Plus GL	Labumat 2
220	Corpos Cet獼icos.	50 mg/dL	Labstrip U11 Plus GL	Labumat 2
220	Hemoglobina Hemolisada.	300 Ery/無	Labstrip U11 Plus GL	Labumat 2
220	Nitrito.	0,2 mg/dL	Labstrip U11 Plus GL	Labumat 2
221	Bilirrubina.	6,0 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
221	Corpos Cet獼icos.	50 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
221	Glicose.	1000 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
221	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Urisys 1800/ Cobas u411
221	Leucocitos.	25 leu/無	Combur 10M	Urisys 1800/ Cobas u411
221	Nitrito.	0,2 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
221	Prote璯as.	500 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
221	Urobilinog瘽io.	4 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
227	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
227	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
227	Glicose.	1000 mg/dL	Uricolor Check	Leitura visual
227	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
227	Leucocitos.	0 leu/無	Uricolor Check	Leitura visual
227	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
227	Prote璯as.	300 mg/dL	Uricolor Check	Leitura visual
227	Urobilinog瘽io.	2 mg/dL	Uricolor Check	Leitura visual
234	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
234	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
234	Glicose.	250 mg/dL	Uricolor Check	Leitura visual
234	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
234	Leucocitos.	15 leu/無	Uricolor Check	Leitura visual
234	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
234	Prote璯as.	300 mg/dL	Uricolor Check	Leitura visual
234	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
235	Bilirrubina.	2 mg/dL	Uricolor Check	Leitura visual
235	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
235	Glicose.	1000 mg/dL	Uricolor Check	Leitura visual
235	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
235	Leucocitos.	25 leu/無	Uricolor Check	Leitura visual
235	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
235	Prote璯as.	300 mg/dL	Uricolor Check	Leitura visual
235	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
239	Bilirrubina.	3 mg/dL	Urofita 10DL	Leitura visual
239	Corpos Cet獼icos.	80 mg/dL	Urofita 10DL	Leitura visual
239	Glicose.	1000 mg/dL	Urofita 10DL	Leitura visual
239	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DL	Leitura visual
239	Leucocitos.	500 leu/無	Urofita 10DL	Leitura visual
239	Nitrito.	0,2 mg/dL	Urofita 10DL	Leitura visual
239	Prote璯as.	100 mg/dL	Urofita 10DL	Leitura visual
239	Urobilinog瘽io.	12 mg/dL	Urofita 10DL	Leitura visual
244	Bilirrubina.	3,0 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
244	Corpos Cet獼icos.	100 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
244	Glicose.	500 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
244	Hemoglobina Hemolisada.	125 Ery/無	iChem Velocity Ref.800-7204	iChem Velocity
244	Leucocitos.	75 leu/無	iChem Velocity Ref.800-7204	iChem Velocity
244	Nitrito.	0,1 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
244	Prote璯as.	300 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
244	Urobilinog瘽io.	6,0 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
249	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
249	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
249	Glicose.	250 mg/dL	Uricolor Check	Leitura visual
249	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
249	Leucocitos.	25 leu/無	Uricolor Check	Leitura visual
249	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
249	Prote璯as.	300 mg/dL	Uricolor Check	Leitura visual
249	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
251	Bilirrubina.	3 mg/dL	Uricolor Check	Urivision
251	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Urivision
251	Glicose.	500 mg/dL	Uricolor Check	Urivision
251	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Urivision
251	Leucocitos.	0 leu/無	Uricolor Check	Urivision
251	Nitrito.	0,2 mg/dL	Uricolor Check	Urivision
251	Prote璯as.	100 mg/dL	Uricolor Check	Urivision
251	Urobilinog瘽io.	8 mg/dL	Uricolor Check	Urivision
252	Bilirrubina.	2,0 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
252	Corpos Cet獼icos.	100 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
252	Glicose.	1000 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
252	Hemoglobina Hemolisada.	125 Ery/無	iChem Velocity Ref.800-7204	iChem Velocity
252	Leucocitos.	75 leu/無	iChem Velocity Ref.800-7204	iChem Velocity
252	Nitrito.	0,1 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
252	Prote璯as.	600 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
252	Urobilinog瘽io.	8,0 mg/dL	iChem Velocity Ref.800-7204	iChem Velocity
253	Bilirrubina.	6,0 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
253	Corpos Cet獼icos.	150 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
253	Glicose.	1000 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
253	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Urisys 1800/ Cobas u411
253	Leucocitos.	500 leu/無	Combur 10M	Urisys 1800/ Cobas u411
253	Nitrito.	0,2 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
253	Prote璯as.	500 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
253	Urobilinog瘽io.	12 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
267	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
267	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
267	Glicose.	500 mg/dL	Uricolor Check	Leitura visual
267	Hemoglobina Hemolisada.	125 Ery/無	Uricolor Check	Leitura visual
267	Leucocitos.	15 leu/無	Uricolor Check	Leitura visual
267	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
267	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
267	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
270	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
270	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
270	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
270	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
270	Leucocitos.	25 leu/無	Meditape UC-11A	Sysmex UC 3500
270	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
270	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
270	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
302	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
302	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
302	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
302	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
302	Leucocitos.	25 leu/無	Meditape UC-11A	Sysmex UC 3500
302	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
302	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
302	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
303	Bilirrubina.	6,0 mg/dL	Cobas u pack	Cobas u 601
303	Corpos Cet獼icos.	150 mg/dL	Cobas u pack	Cobas u 601
303	Glicose.	1000 mg/dL	Cobas u pack	Cobas u 601
303	Hemoglobina Hemolisada.	250 Ery/無	Cobas u pack	Cobas u 601
303	Leucocitos.	500 leu/無	Cobas u pack	Cobas u 601
303	Nitrito.	0,2 mg/dL	Cobas u pack	Cobas u 601
303	Prote璯as.	500 mg/dL	Cobas u pack	Cobas u 601
303	Urobilinog瘽io.	12 mg/dL	Cobas u pack	Cobas u 601
312	Bilirrubina.	3 mg/dL	Biocon 10	Biocon Reader 300
312	Corpos Cet獼icos.	40 mg/dL	Biocon 10	Biocon Reader 300
312	Glicose.	250 mg/dL	Biocon 10	Biocon Reader 300
312	Hemoglobina Hemolisada.	250 Ery/無	Biocon 10	Biocon Reader 300
312	Leucocitos.	500 leu/無	Biocon 10	Biocon Reader 300
312	Nitrito.	0,2 mg/dL	Biocon 10	Biocon Reader 300
312	Prote璯as.	300 mg/dL	Biocon 10	Biocon Reader 300
312	Urobilinog瘽io.	8 mg/dL	Biocon 10	Biocon Reader 300
336	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
336	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Leitura visual
336	Glicose.	500 mg/dL	Uricolor Check	Leitura visual
336	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
336	Leucocitos.	25 leu/無	Uricolor Check	Leitura visual
336	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
336	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
336	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
339	Bilirrubina.	0 mg/dL	Uriquest Plus I	Uriquest 100/500
339	Leucocitos.	0 leu/無	Uriquest Plus I	Uriquest 100/500
356	Bilirrubina.	6,0 mg/dL	Cobas u pack	Cobas u 601
356	Corpos Cet獼icos.	150 mg/dL	Cobas u pack	Cobas u 601
356	Glicose.	1000 mg/dL	Cobas u pack	Cobas u 601
356	Hemoglobina Hemolisada.	250 Ery/無	Cobas u pack	Cobas u 601
356	Leucocitos.	100 leu/無	Cobas u pack	Cobas u 601
356	Nitrito.	0,2 mg/dL	Cobas u pack	Cobas u 601
356	Prote璯as.	500 mg/dL	Cobas u pack	Cobas u 601
356	Urobilinog瘽io.	12 mg/dL	Cobas u pack	Cobas u 601
359	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
359	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
359	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
359	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
359	Leucocitos.	0 leu/無	Meditape UC-11A	Sysmex UC 3500
359	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
359	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
359	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
371	Bilirrubina.	3 mg/dL	Biocon 10	Leitura visual
371	Corpos Cet獼icos.	100 mg/dL	Biocon 10	Leitura visual
371	Glicose.	500 mg/dL	Biocon 10	Leitura visual
371	Hemoglobina Hemolisada.	250 Ery/無	Biocon 10	Leitura visual
371	Leucocitos.	500 leu/無	Biocon 10	Leitura visual
371	Nitrito.	0,2 mg/dL	Biocon 10	Leitura visual
371	Prote璯as.	300 mg/dL	Biocon 10	Leitura visual
371	Urobilinog瘽io.	8 mg/dL	Biocon 10	Leitura visual
377	Bilirrubina.	3,0 mg/dL	Labstrip U11 Plus GL	Labumat 2
377	Corpos Cet獼icos.	50 mg/dL	Labstrip U11 Plus GL	Labumat 2
377	Glicose.	1000 mg/dL	Labstrip U11 Plus GL	Labumat 2
377	Hemoglobina Hemolisada.	300 Ery/無	Labstrip U11 Plus GL	Labumat 2
377	Leucocitos.	500 leu/無	Labstrip U11 Plus GL	Labumat 2
377	Nitrito.	0,2 mg/dL	Labstrip U11 Plus GL	Labumat 2
377	Prote璯as.	100 mg/dL	Labstrip U11 Plus GL	Labumat 2
377	Urobilinog瘽io.	2 mg/dL	Labstrip U11 Plus GL	Labumat 2
379	Bilirrubina.	3 mg/dL	Multistix 10SG	Clinitek Status
379	Corpos Cet獼icos.	160 mg/dL	Multistix 10SG	Clinitek Status
379	Glicose.	500 mg/dL	Multistix 10SG	Clinitek Status
379	Hemoglobina Hemolisada.	200 Ery/無	Multistix 10SG	Clinitek Status
379	Leucocitos.	0 leu/無	Multistix 10SG	Clinitek Status
379	Nitrito.	0,2 mg/dL	Multistix 10SG	Clinitek Status
379	Prote璯as.	300 mg/dL	Multistix 10SG	Clinitek Status
379	Urobilinog瘽io.	8 mg/dL	Multistix 10SG	Clinitek Status
403	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
403	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
403	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
403	Leucocitos.	125 leu/無	Uricolor Check	Leitura visual
403	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
412	Bilirrubina.	3,0 mg/dL	Labstrip U11 Plus GL	Labumat 2
412	Corpos Cet獼icos.	50 mg/dL	Labstrip U11 Plus GL	Labumat 2
412	Glicose.	1000 mg/dL	Labstrip U11 Plus GL	Labumat 2
